ds,yhat
2020-03-11,4336.827848397579
2020-03-12,6348.230525692091
2020-03-13,6480.373405540895
2020-03-14,3603.9669307743484
2020-03-15,3532.8108466225053
2020-03-16,2666.599858582266
2020-03-17,4203.786152468645
2020-03-18,2589.8279997379123
2020-03-19,4409.445432243901
2020-03-20,4374.324211897005
2020-03-21,1359.880833169489
2020-03-22,1184.2278494799398
2020-03-23,250.87769231815446
2020-03-24,1761.5096572431994
2020-03-25,164.13166466766643
2020-03-26,2045.2600679676136
2020-03-27,2117.560864334722
2020-03-28,-743.433043845183
2020-03-29,-720.3876131213269
2020-03-30,-1411.476977291176
2020-03-31,382.38928087281556
2020-04-01,-894.2469748733197
2020-04-02,1340.8319716609801
2020-04-03,1795.2245716411833
2020-04-04,-661.2908380226777
2020-04-05,-217.7229990798519
2020-04-06,-479.0631114959506
2020-04-07,1746.6148200267428
2020-04-08,896.4782488912638
2020-04-09,3545.3054502289183
2020-04-10,4393.3398445895755
2020-04-11,2303.2397852300974
2020-04-12,3079.2600227114235
2020-04-13,3110.1991444289356
2020-04-14,5582.433065334625
2020-04-15,4928.360944626525
2020-04-16,7718.8810388491365
2020-04-17,8651.333680765394
2020-04-18,6586.519598883292
2020-04-19,7327.927949582934
2020-04-20,7264.707016346368
2020-04-21,9584.69685220702
2020-04-22,8722.850009249934
2020-04-23,11253.658219678238
2020-04-24,11879.023155327868
2020-04-25,9465.180986155385
2020-04-26,9821.817151858657
2020-04-27,9344.906835777085
2020-04-28,11229.6048899747
2020-04-29,9918.507157870354
2020-04-30,11993.919726634911
2020-05-01,12165.562985451914
2020-05-02,9307.331640512566
2020-05-03,9236.24949749897
2020-05-04,8355.158302357439
2020-05-05,9865.466487927191
2020-05-06,8215.290613887064
2020-05-07,9991.61391245281
2020-05-08,9907.906353292103
2020-05-09,6840.82181272238
2020-05-10,6609.114053180148
2020-05-11,5616.311584276291
2020-05-12,7063.4774023040445
2020-05-13,5397.385908965131
2020-05-14,7202.740311365998
2020-05-15,7189.873210589681
2020-05-16,4231.543707379314
2020-05-17,4141.969982401271
2020-05-18,3319.6342556204495
2020-05-19,4960.182619958895
2020-05-20,3504.748307014367
2020-05-21,5535.201902186344
2020-05-22,5753.346796525786
2020-05-23,3026.5103458459294
2020-05-24,3163.8250153263007
2020-05-25,2559.153498821959
2020-05-26,4404.093156740005
2020-05-27,3136.3857218131234
2020-05-28,5332.349594983491
2020-05-29,5694.771990345309
2020-05-30,3089.8694853261086
2020-05-31,3326.4519655835597
2020-06-01,2798.8238080970377
2020-06-02,4699.7427257157005
2020-06-03,3468.7637996004146
2020-06-04,5684.588151220321
2020-06-05,6052.856133594174
2020-06-06,3442.9966356972427
2020-06-07,3667.27085769888
2020-06-08,3123.5480044631595
2020-06-09,5008.137057640599
2020-06-10,3764.005917780163
2020-06-11,5973.011054370657
2020-06-12,6343.58104658373
2020-06-13,3752.7463714667747
2020-06-14,4009.268935952658
2020-06-15,3512.186610248049
2020-06-16,5458.323376632572
2020-06-17,4290.485388375024
2020-06-18,6589.689217066032
2020-06-19,7062.865720498818
2020-06-20,4579.653760983265
2020-06-21,4951.423775281581
2020-06-22,4574.069248511318
2020-06-23,6640.889799979693
2020-06-24,5590.895675810673
2020-06-25,8001.154286812738
2020-06-26,8574.618743227025
2020-06-27,6177.04893487541
2020-06-28,6616.1613818785945
2020-06-29,6284.542144354378
2020-06-30,8372.642856074957
2020-07-01,7317.186259461043
2020-07-02,9693.598786937848
2020-07-03,10203.907461167068
2020-07-04,7713.709475973041
2020-07-05,8031.349053744083
2020-07-06,7556.969508597975
2020-07-07,9477.086876180078
2020-07-08,8231.358394880808
